Date,Annual Crude Oil Field Production
1900-06-30,174
1901-06-30,190
1902-06-30,243
1903-06-30,275
1904-06-30,320
1905-06-30,369
1906-06-30,347
1907-06-30,455
1908-06-30,488
1909-06-30,502
1910-06-30,574
1911-06-30,604
1912-06-30,609
1913-06-30,681
1914-06-30,728
1915-06-30,770
1916-06-30,822
1917-06-30,919
1918-06-30,920
1919-06-30,1037
1920-06-30,1210
1921-06-30,1294
1922-06-30,1527
1923-06-30,2007
1924-06-30,1951
1925-06-30,1700
1926-06-30,2112
1927-06-30,2469
1928-06-30,2463
1929-06-30,2760
1930-06-30,2460
1931-06-30,2332
1932-06-30,2145
1933-06-30,2481
1934-06-30,2488
1935-06-30,2723
1936-06-30,3001
1937-06-30,3500
1938-06-30,3324
1939-06-30,3464
1940-06-30,4107
1941-06-30,3847
1942-06-30,3796
1943-06-30,4125
1944-06-30,4584
1945-06-30,4695
1946-06-30,4749
1947-06-30,5088
1948-06-30,5520
1949-06-30,5046
1950-06-30,5407
1951-06-30,6158
1952-06-30,6256
1953-06-30,6458
1954-06-30,6342
1955-06-30,6807
1956-06-30,7151
1957-06-30,7170
1958-06-30,6710
1959-06-30,7054
1960-06-30,7035
1961-06-30,7183
1962-06-30,7332
1963-06-30,7542
1964-06-30,7614
1965-06-30,7804
1966-06-30,8295
1967-06-30,8810
1968-06-30,9096
1969-06-30,9238
1970-06-30,9637
1971-06-30,9463
1972-06-30,9441
1973-06-30,9208
1974-06-30,8774
1975-06-30,8375
1976-06-30,8132
1977-06-30,8245
1978-06-30,8707
1979-06-30,8552
1980-06-30,8597
1981-06-30,8572
1982-06-30,8649
1983-06-30,8688
1984-06-30,8879
1985-06-30,8971
1986-06-30,8680
1987-06-30,8349
1988-06-30,8140
1989-06-30,7613
1990-06-30,7355
1991-06-30,7417
1992-06-30,7171
1993-06-30,6847
1994-06-30,6662
1995-06-30,6560
1996-06-30,6465
1997-06-30,6452
1998-06-30,6252
1999-06-30,5881
2000-06-30,5822
2001-06-30,5801
2002-06-30,5744
2003-06-30,5649
2004-06-30,5441
2005-06-30,5184
2006-06-30,5086
2007-06-30,5077
2008-06-30,5000
2009-06-30,5353
2010-06-30,5475
2011-06-30,5646
2012-06-30,6487
2013-06-30,7468
2014-06-30,8764
2015-06-30,9415
2016-06-30,8876
